iter	Passed	Remaining
653	1135	600
654	1137	599
655	1138	597
656	1140	595
657	1141	593
658	1143	591
659	1144	589
660	1146	587
661	1147	585
662	1148	583
663	1150	582
664	1151	580
665	1153	578
666	1154	576
667	1156	574
668	1157	572
669	1158	570
670	1160	568
671	1161	566
672	1163	565
673	1164	563
674	1165	561
675	1167	559
676	1168	557
677	1170	555
678	1171	553
679	1172	551
680	1174	550
681	1175	548
682	1177	546
683	1178	544
684	1179	542
685	1181	540
686	1182	538
687	1183	536
688	1185	535
689	1186	533
690	1188	531
691	1189	529
692	1190	527
693	1192	525
694	1193	523
695	1195	522
696	1196	520
697	1197	518
698	1199	516
699	1200	514
700	1202	512
701	1203	510
702	1204	509
703	1206	507
704	1207	505
705	1208	503
706	1210	501
707	1211	499
708	1213	497
709	1214	496
710	1215	494
711	1217	492
712	1218	490
713	1219	488
714	1221	486
715	1222	484
716	1224	483
717	1225	481
718	1226	479
719	1228	477
720	1229	475
721	1230	473
722	1232	472
723	1233	470
724	1235	468
725	1236	466
726	1237	464
727	1239	463
728	1240	461
729	1242	459
730	1243	457
731	1245	455
732	1246	454
733	1247	452
734	1249	450
735	1250	448
736	1251	446
737	1253	444
738	1254	443
739	1255	441
740	1257	439
741	1258	437
742	1259	435
743	1261	433
744	1262	432
745	1263	430
746	1265	428
747	1266	426
748	1268	425
749	1269	423
750	1271	421
751	1272	419
752	1274	418
753	1275	416
754	1277	414
755	1278	412
756	1280	410
757	1281	409
758	1282	407
759	1284	405
760	1285	403
761	1287	402
762	1288	400
763	1289	398
764	1291	396
765	1292	394
766	1293	393
767	1295	391
768	1296	389
769	1297	387
770	1299	385
771	1300	384
772	1302	382
773	1303	380
774	1305	378
775	1306	377
776	1307	375
777	1309	373
778	1310	371
779	1312	370
780	1313	368
781	1314	366
782	1316	364
783	1318	363
784	1319	361
785	1320	359
786	1321	357
787	1323	356
788	1324	354
789	1326	352
790	1327	350
791	1329	349
792	1330	347
793	1331	345
794	1332	343
795	1334	342
796	1335	340
797	1337	338
798	1338	336
799	1339	334
800	1341	333
801	1342	331
802	1343	329
803	1345	327
804	1346	326
805	1348	324
806	1349	322
807	1350	320
808	1352	319
809	1353	317
810	1354	315
811	1356	313
812	1357	312
813	1358	310
814	1360	308
815	1361	307
816	1363	305
817	1364	303
818	1365	301
819	1367	300
820	1368	298
821	1369	296
822	1371	294
823	1372	293
824	1374	291
825	1375	289
826	1377	288
827	1378	286
828	1380	284
829	1381	282
830	1382	281
831	1383	279
832	1385	277
833	1387	276
834	1388	274
835	1390	272
836	1391	271
837	1393	269
838	1394	267
839	1395	265
840	1397	264
841	1398	262
842	1400	260
843	1401	259
844	1403	257
845	1404	255
846	1405	253
847	1406	252
848	1408	250
849	1409	248
850	1411	247
851	1412	245
852	1413	243
853	1415	241
854	1417	240
855	1418	238
856	1419	236
857	1421	235
858	1422	233
859	1424	231
860	1425	230
861	1426	228
862	1428	226
863	1429	225
864	1431	223
865	1432	221
866	1434	219
867	1435	218
868	1436	216
869	1438	214
870	1439	213
871	1441	211
872	1442	209
873	1443	208
874	1445	206
875	1446	204
876	1448	203
877	1449	201
878	1450	199
879	1452	198
880	1453	196
881	1454	194
882	1456	192
883	1457	191
884	1459	189
885	1460	187
886	1461	186
887	1463	184
888	1464	182
889	1465	181
890	1467	179
891	1468	177
892	1470	176
893	1471	174
894	1473	172
895	1474	171
896	1476	169
897	1477	167
898	1479	166
899	1480	164
900	1481	162
901	1483	161
902	1484	159
903	1485	157
904	1487	156
905	1488	154
906	1490	152
907	1491	151
908	1492	149
909	1494	147
910	1495	146
911	1497	144
912	1498	142
913	1500	141
914	1501	139
915	1503	137
916	1504	136
917	1505	134
918	1507	132
919	1508	131
920	1509	129
921	1511	127
922	1512	126
923	1514	124
924	1516	122
925	1517	121
926	1518	119
927	1520	117
928	1521	116
929	1523	114
930	1524	113
931	1526	111
932	1527	109
933	1529	108
934	1530	106
935	1531	104
936	1533	103
937	1534	101
938	1535	99
939	1537	98
940	1538	96
941	1540	94
942	1541	93
943	1542	91
944	1543	89
945	1545	88
946	1547	86
947	1548	84
948	1549	83
949	1551	81
950	1552	79
951	1553	78
952	1555	76
953	1556	75
954	1558	73
955	1559	71
956	1560	70
957	1562	68
958	1563	66
959	1565	65
960	1566	63
961	1567	61
962	1568	60
963	1570	58
964	1571	57
965	1573	55
966	1574	53
967	1575	52
968	1577	50
969	1578	48
970	1579	47
971	1581	45
972	1582	43
973	1584	42
974	1585	40
975	1586	39
976	1588	37
977	1589	35
978	1591	34
979	1592	32
980	1593	30
981	1595	29
982	1596	27
983	1597	25
984	1598	24
985	1600	22
986	1601	21
987	1603	19
988	1604	17
989	1605	16
990	1607	14
991	1608	12
992	1609	11
993	1611	9
994	1612	8
995	1613	6
996	1615	4
997	1616	3
998	1617	1
999	1619	0
